vg1_avg	vg2_avg	vg3_avg	vg4_avg	vg1_CI95l	vg1_CI95r	vg2_CI95l	vg2_CI95r	vg3_CI95l	vg3_CI95r	vg4_CI95l	vg4_CI95r	nloci	trait
0.190035616078247	0.380787092877099	0.0383533619742925	0.390823929070361	0.14967454698253	0.230983963586631	0.347388745006971	0.416302568956407	0.0349894377521556	0.0419305260516439	0.370270564994241	0.405098360006944	8	SkinPigmentation
0.864352308886357	0.0708851478237452	0.00713964255601173	0.0576229007338859	0.854822226191952	0.872406651636703	0.0699829924433024	0.07169342463153	0.0070487763147173	0.00722105322765549	0.0487739044900474	0.068158861495571	8893	Height
0.935413570660599	0.0642284521799375	0.0064691716751564	-0.00611119451569264	0.928744318469449	0.940298718949947	0.0610971964092561	0.0674558165002013	0.00615378759766668	0.00679423592841864	-0.0101953424901133	0.000385536991831486	179	BMI
0.947466499465306	0.0561497856539963	0.00565547807226155	-0.00927176319156434	0.942217917290048	0.950229748656311	0.0531906709234939	0.0594871648944353	0.00535743226003374	0.00599162316869043	-0.0112003807752899	-0.00616635193264411	295	BirthWeight
0.945750049386852	0.0586532149135297	0.00590762666228455	-0.010310890962666	0.94282179826565	0.948876439466195	0.0562997943086989	0.0605416872334678	0.00567058713541181	0.00609783600451243	-0.011716588714955	-0.00783529473885931	427	SBP
0.940213354183626	0.0662436810621811	0.00667214810011281	-0.0131291833459196	0.938402499998067	0.942075364177252	0.0642513639672286	0.0680762740659976	0.00647147937961354	0.00685672920630491	-0.0136862313138747	-0.0121112700114472	453	DBP
0.914310324908418	0.0657217168950743	0.00661957520304479	0.0133483829934625	0.90591355749896	0.923175213213029	0.0622240584708992	0.069498212759776	0.00626728658267362	0.00699994868629222	0.00584756157507288	0.021684508246292	380	PP
0.867503450274355	0.0576958804739754	0.0058112027157341	0.0689894665359356	0.857351012063387	0.878312136342955	0.0565218632095161	0.0591159621674961	0.00569295419851766	0.00595423515628545	0.0588744161929271	0.0784615616240362	382	HDL
0.916642793423189	0.0403076298016006	0.0040598359162492	0.0389897408589612	0.909709739196014	0.92405850415225	0.0378964755796818	0.0429570788872017	0.0038169813857808	0.00432669180951162	0.0324138147104233	0.0455315304454212	422	LDL
0.956560597042313	0.0372824586312931	0.00375513681509966	0.00240180751129381	0.953340439654898	0.959154817359314	0.0364834147801878	0.0382977163843558	0.00367465609863624	0.00385739487171133	-0.000490958411486112	0.00575186000547	383	TG
0.941232239059289	0.0491573486547716	0.00495119089359854	0.004659221392341	0.933639547252373	0.94657101668241	0.0469547472045197	0.0521908713454261	0.004729342064458	0.00525673117053606	0.000578360627283103	0.0100463708225618	468	TC
0.910252840824134	0.0847586581460515	0.00853700022174867	-0.00354849919193397	0.89943304455463	0.919965592119562	0.078102604725819	0.0924828587812027	0.00786659402647147	0.00931499156773588	-0.00693893274840489	-0.000182469086168278	452	RBC
0.918167703447778	0.065955451304731	0.00664311723108907	0.00923372801640225	0.910880805478463	0.925174685142073	0.0632172361878542	0.0684013464418317	0.00636732070986887	0.0068894709108727	0.00319305441298676	0.0151100741233391	366	HGB
0.955616209157084	0.049076400712279	0.00494303771352084	-0.00963564758288355	0.950672415703654	0.959646557923621	0.0448462434197959	0.0543509635776858	0.00451697087228166	0.00547429841698801	-0.0106900276388102	-0.00854037653943231	142	BAS
0.949096318928492	0.0553273551833986	0.00557264182563566	-0.00999631593752649	0.947213220090641	0.951171220102955	0.0534420237717107	0.057415030144411	0.00538274883969534	0.005782915112105	-0.0111783162450142	-0.00819012049939006	356	HCT
0.874985181399816	0.0798327074719315	0.00804085218310438	0.0371412589451481	0.867125962375871	0.880948011381418	0.0777738060556384	0.0819494231028295	0.00783347700478141	0.00825405048290777	0.0311308656737776	0.0435850644487859	380	MCH
0.930352400787577	0.0746784553358943	0.00752170932984594	-0.0125525654533173	0.922812209811057	0.938280269443579	0.06740528689211	0.0819871385031153	0.00678914652180325	0.00825784922615885	-0.013840888674369	-0.0108784870509543	434	MCV
0.900573794780364	0.0893197923924287	0.00899640348419356	0.00111000934301415	0.895424342763495	0.906397217439863	0.0854406443336447	0.0925624900688335	0.00860569074094826	0.00932301213265553	-0.00189391497902139	0.00488303353283387	164	MCHC
0.93277547485001	0.0736870719497491	0.00742185592993986	-0.013884402729699	0.929360167384771	0.935657539389766	0.0711261338175727	0.0768944968318619	0.00716391497286853	0.00774491185754383	-0.0147582676002719	-0.0125317243843012	336	RDW
0.331933232081603	0.665538550187396	0.0670338921687704	-0.0645056744377694	0.308421652711863	0.35566411994705	0.645183057190658	0.685003815692687	0.0649836609354312	0.0689944585530178	-0.071804869753217	-0.0587379773933216	409	WBC
0.279901507100385	0.713394089279899	0.0718539631418222	-0.0651495595221059	0.250013318624499	0.308770922439593	0.690854778032634	0.737535120055524	0.0695837749471908	0.0742854785715453	-0.0728407360866108	-0.0574343461651552	321	NEU
0.936942233543361	0.0663633820236641	0.00668420453372179	-0.00998982010074711	0.934797458308854	0.93939746443082	0.0644281204844017	0.0682912920144901	0.00648928252160881	0.00687838608849383	-0.0119027511968406	-0.00772545622359249	421	LYM
0.711966121052459	0.267400186935001	0.0269328880977109	-0.0062991960851703	0.680368994982224	0.749362909727338	0.234155058150939	0.294614030314042	0.0235843962974686	0.0296739011345287	-0.0119172574341728	-0.000117480962226256	360	MON
0.952910708252008	0.0507351729688613	0.0051101113722127	-0.00875599259308157	0.950926567367953	0.954779326281606	0.0492635364864347	0.0519706949197935	0.00496188626752592	0.00523455471994607	-0.00978101630977752	-0.00710283625084777	338	EOS
