theta	gen	t	P	cov	var.prs.geno	var.prs.lanc	mean.theta	var.theta	vg.term1	vg.term2	vg.term3	vg.term4	vg.sum	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
0.1	10	0	0	neg	0.932481815182673	1.70132722305449e-06	0.0105	0.01038975	0.928783670487458	0.00250309307953023	0.00250309307953023	-0.00500448483183741	0.928785371814681	0.0104807417937856	0.0103708958452375	-0.00499540325321177	0.92878327759402	0.00249855074652835	0.00249855074652835	0.928784975833865	1.69823984493347e-06
0.1	10	0	0	pos	0.977213860972304	0.0470480189509838	0.0105	0.01038975	0.928783670487458	0.00250309307953023	0.00250309307953023	0.0420418327919233	0.975831689438442	0.0104807417937856	0.0103708958452375	0.0419655399819946	0.92878327759402	0.00249855074652835	0.00249855074652835	0.975745919069071	0.0469626414750513
0.1	10	0	0.3	neg	0.932481815182673	1.70132722305449e-06	0.0105	0.01038975	0.928783670487458	0.00250309307953023	0.00250309307953023	-0.00500448483183741	0.928785371814681	0.0104807417937856	0.0103708958452375	-0.00499540325321177	0.92878327759402	0.00249855074652835	0.00249855074652835	0.928784975833865	1.69823984493347e-06
0.1	10	0	0.3	pos	0.977213860972304	0.0470480189509838	0.0105	0.01038975	0.928783670487458	0.00250309307953023	0.00250309307953023	0.0420418327919233	0.975831689438442	0.0104807417937856	0.0103708958452375	0.0419655399819946	0.92878327759402	0.00249855074652835	0.00249855074652835	0.975745919069071	0.0469626414750513
0.1	10	0	0.6	neg	0.932481815182673	1.70132722305449e-06	0.0105	0.01038975	0.928783670487458	0.00250309307953023	0.00250309307953023	-0.00500448483183741	0.928785371814681	0.0104807417937856	0.0103708958452375	-0.00499540325321177	0.92878327759402	0.00249855074652835	0.00249855074652835	0.928784975833865	1.69823984493347e-06
0.1	10	0	0.6	pos	0.977213860972304	0.0470480189509838	0.0105	0.01038975	0.928783670487458	0.00250309307953023	0.00250309307953023	0.0420418327919233	0.975831689438442	0.0104807417937856	0.0103708958452375	0.0419655399819946	0.92878327759402	0.00249855074652835	0.00249855074652835	0.975745919069071	0.0469626414750513
0.1	10	0	0.9	neg	0.932481815182673	1.70132722305449e-06	0.0105	0.01038975	0.928783670487458	0.00250309307953023	0.00250309307953023	-0.00500448483183741	0.928785371814681	0.0104807417937856	0.0103708958452376	-0.00499540325321177	0.92878327759402	0.00249855074652835	0.00249855074652835	0.928784975833865	1.69823984493261e-06
0.1	10	0	0.9	pos	0.977213860972304	0.0470480189509838	0.0105	0.01038975	0.928783670487458	0.00250309307953023	0.00250309307953023	0.0420418327919233	0.975831689438442	0.0104807417937856	0.0103708958452376	0.0419655399819946	0.92878327759402	0.00249855074652835	0.00249855074652835	0.975745919069071	0.0469626414750513
0.1	10	1	0	neg	0.933622760281688	0.00121300037371467	0.020887695	0.0153338004448808	0.928995593505827	0.0049271385139112	0.00369421110002441	-0.0073859112818718	0.930231031837891	0.0208516376390231	0.0152857462649373	-0.00736276477549451	0.928994857886926	0.00491881595303435	0.00368263391238669	0.930233542976853	0.00123868508992653
0.1	10	1	0	pos	1.00370556357246	0.0712463167451549	0.020887695	0.0153338004448808	0.928995593505827	0.0049271385139112	0.00369421110002441	0.0620477946407176	0.99966473776048	0.0208516376390231	0.0152857462649373	0.0618533447455674	0.928994857886926	0.00491881595303435	0.00368263391238669	0.999449652497915	0.0704547946109884
0.1	10	1	0.3	neg	0.935132224449017	0.0008479480920456	0.020869475	0.0168607404475703	0.9289952217932	0.00492293152454007	0.00406208067855998	-0.00812140040168559	0.929858833594615	0.0208516376390231	0.0168250764394943	-0.00810422193372836	0.928994857886926	0.00491881595303435	0.004053488524581	0.929862940430813	0.000868082543886982
0.1	10	1	0.3	pos	1.00927189703706	0.0774226971783536	0.020869475	0.0168607404475703	0.9289952217932	0.00492293152454007	0.00406208067855998	0.0682265146557681	1.00620674865207	0.0208516376390231	0.0168250764394943	0.0680822012445483	0.928994857886926	0.00491881595303435	0.004053488524581	1.00604936360909	0.0770545057221637
0.1	10	1	0.6	neg	0.931939017832032	0.000526065158896587	0.020873235	0.0184011094153448	0.928995298502282	0.00492379834262576	0.00443318555626729	-0.00886335792084251	0.929488924480333	0.0208516376390231	0.0183644066140513	-0.00884567909196222	0.928994857886926	0.00491881595303435	0.00442434313677529	0.929492337884774	0.00049747999784742
0.1	10	1	0.6	pos	1.01361226917831	0.0837586483847044	0.020873235	0.0184011094153448	0.928995298502282	0.00492379834262576	0.00443318555626729	0.0744595746024505	1.01281185700363	0.0208516376390231	0.0183644066140513	0.0743110577435293	0.928994857886926	0.00491881595303435	0.00442434313677529	1.01264907472027	0.083654216833339
0.1	10	1	0.9	neg	0.933475345898825	0.000148323550261329	0.02084519	0.019878413694615	0.928994726346376	0.00491732190727095	0.00478909692254673	-0.00957493874402078	0.929126206432173	0.0208516376390231	0.0199037367886083	-0.00958713625019607	0.928994857886926	0.00491881595303435	0.00479519774896959	0.929121735338734	0.000126877451807861
0.1	10	1	0.9	pos	1.0208556449553	0.0902093910247644	0.02084519	0.019878413694615	0.928994726346376	0.00491732190727095	0.00478909692254673	0.0804374450509091	1.0191385902271	0.0208516376390231	0.0199037367886083	0.0805399142425103	0.928994857886926	0.00491881595303435	0.00479519774896959	1.01924878583144	0.0902539279445142
