t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
11	0.9	neg	0.0509071	0.04986839	0.05197402	0.08318112	0.08210709	0.08419979	0.949055947	0.935510935	0.054081283	0.040563843	-0.081100115	0.10713812	0.10576755	0.10851977	0.06583737	0.06477811	0.06717308	0.06582378	0.06474026	0.06684323	0.9421898	0.9356049	0.9497864	0.9418113	0.9362439	0.9479356
11	0.9	pos	5.66688711	5.58098287	5.76275884	0.08368835	0.08240389	0.08490628	1.711464444	0.935510935	0.054081283	0.040563843	0.681308383	0.10769063	0.10622456	0.1092654	6.52730189	6.425197	6.6431614	6.51787133	6.4253174	6.62112936	0.9508498	0.9426832	0.9590722	1.7294455	1.714474	1.7427677
12	0	neg	0.63241837	0.62268468	0.6456042	0.65173117	0.64044865	0.66598574	0.984512029	0.935969428	0.055689527	0.007151787	-0.014298714	0.66889735	0.65726351	0.68225494	0.65131382	0.64000101	0.66308148	0.65117488	0.63960998	0.66270309	0.9743019	0.963285	0.9851918	0.9740464	0.9637853	0.9875205
12	0	pos	2.81441479	2.70860632	2.93052408	0.67045004	0.65933368	0.68331764	1.118931823	0.935969428	0.055689527	0.007151787	0.12012108	0.69009691	0.67468048	0.70116646	2.84566317	2.75138052	2.93303938	2.84954918	2.734382	2.9603459	0.9880262	0.9798825	0.9952095	1.1284704	1.1127811	1.1404871
12	0.9	neg	0.05119855	0.05046381	0.05204068	0.08074686	0.07991644	0.08157085	0.951013165	0.935969428	0.055689527	0.040673436	-0.081319226	0.10373994	0.10262645	0.10482901	0.06598425	0.06509293	0.06719484	0.06608272	0.06520463	0.06717381	0.9480796	0.9415498	0.9561918	0.9482239	0.9409272	0.95521
12	0.9	pos	5.72285339	5.64869814	5.8107862	0.0794458	0.0782753	0.0809082	1.715481494	0.935969428	0.055689527	0.040673436	0.683149103	0.10196801	0.10000369	0.10400514	6.58748856	6.50015158	6.71321396	6.58433944	6.47778866	6.6950398	0.9385074	0.9235102	0.9540265	1.7195797	1.6995192	1.738873
13	0	neg	0.67791057	0.66388936	0.69251708	0.69227122	0.68185356	0.70309446	0.986755291	0.936412303	0.057011922	0.00667347	-0.013342404	0.70920287	0.69695225	0.72216793	0.69463939	0.68501948	0.7052834	0.69514089	0.68576263	0.70675031	0.9889624	0.979808	0.9957674	0.9900087	0.9824647	0.9997364
13	0	pos	2.62787997	2.56221386	2.69464553	0.6871576	0.67482425	0.69779063	1.112184984	0.936412303	0.057011922	0.00667347	0.112087288	0.70249216	0.68962031	0.71600035	2.66044502	2.60468958	2.73386492	2.65350124	2.58041876	2.73028049	0.9748043	0.9632197	0.9874347	1.1057407	1.0908968	1.1194743
13	0.9	neg	0.05216444	0.05105141	0.05357133	0.07872783	0.07736894	0.08007314	0.952908845	0.936412303	0.057011922	0.040542936	-0.081058316	0.100764	0.09901471	0.10288908	0.06722877	0.06570224	0.06885755	0.06703313	0.06554396	0.06843883	0.9524823	0.945635	0.9600072	0.9522156	0.9452848	0.9615308
13	0.9	pos	5.76218054	5.68065063	5.85266462	0.07873343	0.07736704	0.08027518	1.714924402	0.936412303	0.057011922	0.040542936	0.68095724	0.10084411	0.09936215	0.10294318	6.6152856	6.51949431	6.70462334	6.60365316	6.49712604	6.73854997	0.9508602	0.9424895	0.961043	1.727154	1.7141966	1.7428073
14	0	neg	0.70901337	0.69369326	0.72372671	0.71882683	0.70284292	0.73522298	0.988691137	0.936840092	0.058073679	0.006226866	-0.012449499	0.73664882	0.71867151	0.7557619	0.7246489	0.70538444	0.74011353	0.72344371	0.70408497	0.74236584	0.9864925	0.968817	1.0028646	0.9868009	0.9753802	1.0006
14	0	pos	2.46124112	2.39157489	2.5213248	0.73501033	0.72815898	0.74047932	1.105726776	0.936840092	0.058073679	0.006226866	0.10458614	0.75040046	0.74260375	0.75893307	2.48674771	2.42830999	2.55432943	2.48322788	2.41959471	2.53925717	0.9946553	0.9902005	0.999197	1.1142807	1.1068885	1.1209315
14	0.9	neg	0.05417174	0.05331728	0.05509737	0.07809904	0.07688309	0.07949202	0.954733507	0.936840092	0.058073679	0.040207592	-0.080387856	0.09977686	0.09794719	0.10159192	0.06920168	0.06778384	0.07023117	0.06916343	0.06810816	0.07033324	0.9552419	0.9478013	0.9636859	0.9560487	0.9476569	0.968562
14	0.9	pos	5.85958623	5.75841788	5.96720806	0.07829274	0.0764319	0.0798577	1.710446181	0.936840092	0.058073679	0.040207592	0.675324818	0.09972955	0.09734825	0.10161406	6.68976479	6.59064853	6.81732636	6.69309247	6.57916541	6.80976987	0.9495323	0.9363609	0.9630474	1.7247017	1.7031645	1.7442299
15	0	neg	0.72730031	0.716881	0.7364604	0.73569975	0.72087002	0.74602603	0.990345356	0.937253308	0.058898113	0.005810015	-0.011616081	0.74945901	0.73759008	0.76005424	0.74139646	0.73261935	0.75161297	0.74111622	0.72839461	0.74971342	0.9838518	0.9743181	0.9927084	0.9838381	0.9738791	0.9927227
15	0	pos	2.36842284	2.35018108	2.39176338	0.75132796	0.74149205	0.76152402	1.099546172	0.937253308	0.058898113	0.005810015	0.097584735	0.76548562	0.75614343	0.77567659	2.38798144	2.37011939	2.41175498	2.38388922	2.36427971	2.40369472	0.9883091	0.9819447	0.9960867	1.1034763	1.0975537	1.1102962
15	0.9	neg	0.05594928	0.05449705	0.05751423	0.07790511	0.07639581	0.07953602	0.956479692	0.937253308	0.058898113	0.039698713	-0.079370442	0.09894759	0.09662378	0.1008991	0.07132386	0.06979529	0.07323423	0.07108378	0.06902755	0.07284153	0.9538345	0.9419877	0.964672	0.9546053	0.9447332	0.9650628
15	0.9	pos	5.84359771	5.77035652	5.92834547	0.07643107	0.07427174	0.07833989	1.70262783	0.937253308	0.058898113	0.039698713	0.666777696	0.09720076	0.09442177	0.10003774	6.66472591	6.56959042	6.76635711	6.6570281	6.55898404	6.76776048	0.9412414	0.9236861	0.9592033	1.7026953	1.6781891	1.7275886
16	0	neg	0.75525584	0.74524648	0.76556374	0.7618852	0.75031432	0.77320887	0.991741909	0.937652449	0.05950678	0.005421005	-0.010838326	0.77498894	0.76371785	0.7885914	0.76829431	0.75540982	0.77935716	0.76834024	0.75458508	0.78100645	0.9869878	0.9788473	0.9961882	0.986782	0.9782449	0.994515
16	0	pos	2.19679027	2.15218062	2.25066749	0.76776679	0.753912	0.78537125	1.093631179	0.937652449	0.05950678	0.005421005	0.091050944	0.78086001	0.7633581	0.79686169	2.21026215	2.16906133	2.2720529	2.21276108	2.16829689	2.2585146	0.986305	0.9723512	0.9996809	1.0885065	1.0737616	1.1031685
16	0.9	neg	0.05793813	0.05579877	0.05983855	0.07903498	0.07714498	0.08066568	0.958141707	0.937652449	0.05950678	0.03904406	-0.078061582	0.09992045	0.0974729	0.10221604	0.07346691	0.07123254	0.07603404	0.07345693	0.07188876	0.07506209	0.9621737	0.9492901	0.9752926	0.9599942	0.947314	0.9724877
16	0.9	pos	5.78989047	5.69402382	5.90491295	0.07832021	0.07684563	0.07979486	1.691985474	0.937652449	0.05950678	0.03904406	0.655782184	0.09882395	0.09738192	0.10069825	6.58615111	6.4877789	6.7325311	6.58184772	6.48974579	6.70112781	0.950517	0.934562	0.965768	1.6936509	1.6799653	1.707991
