t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
6	0	pos	3.61443782	3.54464846	3.69887033	0.47688389	0.47017846	0.48263414	1.164707774	0.932964232	0.040718256	0.010734198	0.180291088	0.50617449	0.50078657	0.51161123	3.72597564	3.659236	3.80185438	3.70834521	3.64167472	3.79163691	0.9605903	0.9522042	0.9712867	1.1712062	1.1619136	1.1790657
6	0.9	neg	0.05737934	0.05620263	0.05863122	0.13246481	0.13025854	0.13538676	0.9388598	0.932964232	0.040718256	0.034846372	-0.069669059	0.16848184	0.16543134	0.17275455	0.07460801	0.07293357	0.07654564	0.07462335	0.07289338	0.07616237	0.9380583	0.9297304	0.9476197	0.9380284	0.9286716	0.9463991
6	0.9	pos	5.21085985	5.15174674	5.27360767	0.12878873	0.12572423	0.13156055	1.593806873	0.932964232	0.040718256	0.034846372	0.585278013	0.16473808	0.16172547	0.16750988	5.98652046	5.92775669	6.0605173	5.99169401	5.93173427	6.05792858	0.9356167	0.9246308	0.9464806	1.6210191	1.6069802	1.6380897
7	0	neg	0.42918152	0.42228949	0.43689681	0.49656422	0.48905049	0.50366341	0.967663281	0.933509475	0.044210917	0.010063951	-0.020121061	0.52349836	0.51491101	0.53144022	0.45372976	0.44611215	0.46113446	0.45376084	0.44690791	0.46064082	0.9645512	0.9573374	0.9716255	0.9643783	0.9559361	0.9721551
7	0	pos	3.49271551	3.39846877	3.57947512	0.502725	0.49096428	0.51288724	1.15681798	0.933509475	0.044210917	0.010063951	0.169033638	0.52882674	0.51657094	0.54017658	3.56962898	3.50167564	3.65240291	3.56043211	3.45886022	3.64244803	0.9613224	0.9491543	0.974591	1.1546804	1.1450803	1.1645665
7	0.9	neg	0.05360568	0.05228223	0.05491846	0.11273369	0.11081618	0.11464727	0.94088936	0.933509475	0.044210917	0.036856082	-0.073687114	0.14466492	0.14267113	0.14716213	0.06972074	0.06815891	0.0712276	0.06952243	0.06788708	0.07162932	0.9326293	0.9243832	0.9435698	0.9327001	0.9228136	0.9430084
7	0.9	pos	5.32167591	5.23832037	5.40477545	0.11105485	0.10857045	0.11353074	1.633609487	0.933509475	0.044210917	0.036856082	0.619033013	0.14300409	0.13938009	0.14641873	6.14420968	6.04440336	6.24127042	6.1385885	6.04051329	6.24329822	0.935673	0.9214988	0.9458073	1.655795	1.648356	1.6634836
8	0	neg	0.48235142	0.47257813	0.49175112	0.53788637	0.52880204	0.54655077	0.971886906	0.934036144	0.047257828	0.009413465	-0.018820532	0.5634504	0.55384112	0.57449357	0.50631742	0.49861536	0.51537725	0.50629977	0.49616281	0.51549834	0.9785972	0.9680094	0.9888556	0.9802927	0.9684323	0.9920277
8	0	pos	3.50388103	3.42069069	3.58186837	0.52418576	0.51528076	0.5347215	1.148815551	0.934036144	0.047257828	0.009413465	0.158108114	0.54795008	0.53883129	0.56036402	3.57624389	3.49592759	3.64896749	3.56379272	3.49937787	3.63390588	0.9585014	0.950231	0.9677524	1.1503036	1.1397491	1.1608131
8	0.9	neg	0.05181774	0.05097012	0.05267087	0.10218462	0.10109152	0.10328776	0.94294656	0.934036144	0.047257828	0.038373495	-0.076720907	0.13158813	0.1302407	0.13320941	0.06756899	0.06660973	0.06854349	0.06735151	0.06640672	0.06847696	0.9424002	0.9332159	0.9515546	0.9420792	0.933529	0.9510233
8	0.9	pos	5.45290032	5.33988538	5.53868629	0.09976615	0.09882124	0.1007452	1.664186867	0.934036144	0.047257828	0.038373495	0.6445194	0.12867543	0.12766459	0.12962931	6.29368084	6.16311711	6.43623636	6.28847873	6.16757765	6.4154774	0.939623	0.9329173	0.9488038	1.6885527	1.6714564	1.7029859
9	0	neg	0.51830195	0.5108279	0.5274042	0.55864762	0.54809645	0.56726124	0.9756525	0.934544874	0.049896056	0.008794407	-0.017582837	0.58081075	0.57226701	0.59107593	0.54005557	0.53069778	0.54684488	0.53944835	0.53114246	0.54721435	0.9727553	0.9635952	0.9847074	0.9730044	0.9640532	0.9840135
9	0	pos	3.24824302	3.16317898	3.34681274	0.56613833	0.55763552	0.57321178	1.140945787	0.934544874	0.049896056	0.008794407	0.147710449	0.5889337	0.57977613	0.5973025	3.30567666	3.23150068	3.39913666	3.30816932	3.22766568	3.40026122	0.9696133	0.9634382	0.9740201	1.1437289	1.134732	1.1529708
9	0.9	neg	0.05160465	0.05061163	0.05261177	0.09353453	0.0918923	0.09539271	0.945006713	0.934544874	0.049896056	0.039461038	-0.078895256	0.12040432	0.11857526	0.12300804	0.06697302	0.0657619	0.06816504	0.06695405	0.06577791	0.06812138	0.9446232	0.9339033	0.9546772	0.9444968	0.9353772	0.9555877
9	0.9	pos	5.53508839	5.44919425	5.63410992	0.092652	0.09073892	0.09430786	1.686687701	0.934544874	0.049896056	0.039461038	0.662785732	0.11953658	0.11669819	0.12171357	6.39237086	6.30867195	6.48882686	6.40417112	6.29423053	6.50219315	0.9447614	0.9296334	0.9554086	1.7100868	1.6902406	1.7293138
