t	P	cov	vgamma_GRMstd_mean	vgamma_GRMstd_CIl	vgamma_GRMstd_CIr	vgamma_GRMstd_ganc_mean	vgamma_GRMstd_ganc_CIl	vgamma_GRMstd_ganc_CIr	vgamma_GRMvarX_mean	vgamma_GRMvarX_CIl	vgamma_GRMvarX_CIr	vgamma_GRMvarX_ganc_mean	vgamma_GRMvarX_ganc_CIl	vgamma_GRMvarX_ganc_CIr	vgamma_GRMld_mean	vgamma_GRMld_CIl	vgamma_GRMld_CIr	vgamma_GRMld_ganc_mean	vgamma_GRMld_ganc_CIl	vgamma_GRMld_ganc_CIr	vgamma_gcta	vgamma_GCTA_wganc	vgamma_GRMvarX	vgamma_GRMvarX_ganc	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3
8	0	neg	0.0499025066666667	0.0483749972222222	0.0516619666666667	0.0507629722222222	0.0484617388888889	0.0527522833333333	0.057445706	0.053001	0.0614142225	0.059024102	0.054162435	0.062897605	NA	NA	NA	NA	NA	NA	0.0499515555555556	0.0507598888888889	0.0576999	0.0586941	0.0379332438736688	0.267957152027187	0.03907307707477	-0.0188205319236652	0.934036144376838	0.0472578279776678	0.00941346508066204
8	0	pos	0.06254121	0.055518	0.070461	0.0575917	0.049981	0.066526	0.065973141	0.06195275	0.069848125	0.058702771	0.05457783	0.06378117	0.221918729	0.217390225	0.2267977525	NA	NA	NA	0.0629895	0.0582535	0.0656833	0.0585157	0.215339116736219	0.267957152027187	0.03907307707477	0.158108113577652	0.934036144376838	0.0472578279776678	0.00941346508066204
8	0.9	neg	0.05896708	0.0413453125	0.078768015625	0.0642898122222222	0.0396653333333333	0.0833397361111111	0.107168525	0.06809756875	0.1435257	0.107108336	0.07742992	0.1357210275	NA	NA	NA	NA	NA	NA	0.058771875	0.0632924444444444	0.10674375	0.1064087	0.00871946837069794	0.267957152027187	0.159279341342119	-0.0767209074108316	0.934036144376838	0.0472578279776678	0.0383734947448776
8	0.9	pos	0.080795945	0.067846235	0.0952376775	0.037759096	0.0098529575	0.0605544075	0.146816397	0.1270194825	0.1738743525	0.069507187	0.0238610425	0.1156573425	0.740951957	0.7271596325	0.754804775	NA	NA	NA	0.0806163	0.0390471	0.1468374	0.0710815	0.743229198099407	0.267957152027187	0.159279341342119	0.644519399977191	0.934036144376838	0.0472578279776678	0.0383734947448776
9	0	neg	0.051574647	0.0465623675	0.0570080225	0.052068034	0.0454624125	0.0583157375	0.060825269	0.053845775	0.067711765	0.061686875	0.05513246	0.06960718	0.0535249733333333	0.0501413666666667	0.059356	0.0531555866666667	0.0502310916666667	0.0562836666666667	0.0513901	0.0521498	0.0604486	0.0613426	0.0412141282917456	0.292893218813452	0.0365035142353892	-0.017582837248227	0.934544873843732	0.0498960562777573	0.00879440735928547
9	0	pos	0.0613705483333333	0.0590212	0.0632146541666667	0.05677746	0.0546274916666667	0.0592716666666667	0.070829823	0.06616861	0.07388586	0.064812952	0.0593668575	0.06893454	0.210403742	0.2063374425	0.21621879	NA	NA	NA	0.0615485	0.0567696666666667	0.0707576	0.0646426	0.206486887618818	0.292893218813452	0.0365035142353892	0.147710449414261	0.934544873843732	0.0498960562777573	0.00879440735928547
9	0.9	neg	0.0524908425	0.042156921875	0.0650374	0.0565899622222222	0.0459990138888889	0.0662243416666667	0.09164592375	0.0718169	0.1182066	0.095351248	0.076848795	0.11836258	NA	NA	NA	NA	NA	NA	0.051724375	0.0562253333333333	0.092924875	0.0954733	0.0100728949368716	0.292893218813452	0.163793479057784	-0.0788952555642396	0.934544873843732	0.0498960562777573	0.0394610384178367
9	0.9	pos	0.087099524	0.0740342625	0.102839935	0.052923623	0.031010625	0.0775615375	0.160934898	0.1355772125	0.18530886	0.098164813	0.05665877	0.1422062675	0.76414957	0.7533368875	0.774812095	NA	NA	NA	0.0871457	0.0545135	0.1568111	0.0980608	0.763464165514051	0.292893218813452	0.163793479057784	0.662785731991118	0.934544873843732	0.0498960562777573	0.0394610384178367
10	0	neg	0.05077754	0.04544019	0.0557510975	0.0498396222222222	0.0452918888888889	0.0539469638888889	0.058788222	0.05398293	0.065164105	0.059906055	0.0536216525	0.0663084075	0.05369628	0.0502205583333333	0.0570506666666667	0.0543290933333333	0.0508126666666667	0.059322	0.0510914	0.0500107777777778	0.0591175	0.0600001	0.0441393865256735	0.316979871622802	0.0340817039607129	-0.0164163113178431	0.9350362741174	0.0521599407566331	0.00821094610771758
10	0	pos	0.064917	0.064917	0.064917	0.0609936533333333	0.05623	0.0670292333333333	0.06525674625	0.058241478125	0.073436734375	0.057197185	0.05181688	0.0624545925	0.198539948	0.1927245525	0.2049916625	NA	NA	NA	0.064917	0.0609516666666667	0.06501925	0.0574335	0.197516317363697	0.316979871622802	0.0340817039607129	0.137910661871568	0.9350362741174	0.0521599407566331	0.00821094610771758
