t	P	cov	vg_gcta.x.mean	vg_gcta.x.CI95l	vg_gcta.x.CI95r	vg_GRMvarX.x.mean	vg_GRMvarX.x.CI95l	vg_GRMvarX.x.CI95r	vg_GRMld.x.mean	vg_GRMld.x.CI95l	vg_GRMld.x.CI95r	vg_gcta_wganc.x.mean	vg_gcta_wganc.x.CI95l	vg_gcta_wganc.x.CI95r	vg_GRMvarX_ganc.x.mean	vg_GRMvarX_ganc.x.CI95l	vg_GRMvarX_ganc.x.CI95r	vg_GRMld_ganc.x.mean	vg_GRMld_ganc.x.CI95l	vg_GRMld_ganc.x.CI95r	ve_GRMstd.mean	ve_GRMstd.CI95l	ve_GRMstd.CI95r	ve_GRMvarx.mean	ve_GRMvarx.CI95l	ve_GRMvarx.CI95r	ve_GRMld.mean	ve_GRMld.CI95l	ve_GRMld.CI95r	ve_GRMstd_ganc.mean	ve_GRMstd_ganc.CI95l	ve_GRMstd_ganc.CI95r	ve_GRMvarx_ganc.mean	ve_GRMvarx_ganc.CI95l	ve_GRMvarx_ganc.CI95r	ve_GRMld_ganc.mean	ve_GRMld_ganc.CI95l	ve_GRMld_ganc.CI95r	h2_GRMstd.mean	h2_GRMstd.CI95l	h2_GRMstd.CI95r	h2_GRMvarx.mean	h2_GRMvarx.CI95l	h2_GRMvarx.CI95r	h2_GRMld.mean	h2_GRMld.CI95l	h2_GRMld.CI95r	h2_GRMstd_ganc.mean	h2_GRMstd_ganc.CI95l	h2_GRMstd_ganc.CI95r	h2_GRMvarx_ganc.mean	h2_GRMvarx_ganc.CI95l	h2_GRMvarx_ganc.CI95r	h2_GRMld_ganc.mean	h2_GRMld_ganc.CI95l	h2_GRMld_ganc.CI95r	vg_gcta.y	vg_GRMvarX.y	vg_GRMld.y	vg_gcta_wganc.y	vg_GRMvarX_ganc.y	vg_GRMld_ganc.y	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
10	0.9	neg	0.9867962	0.9832293	0.9916655	1.0287385	1.0243498	1.0333837	0.9453343	0.9408967	0.9510964	0.9867553	0.9821134	0.9919928	1.0287565	1.0244911	1.0330842	0.9457095	0.9396705	0.9521235	0.2374216	0.2347849	0.2404897	0.2374019	0.2346651	0.2403626	0.2372548	0.2347960	0.2401980	0.2375243	0.2348599	0.2410218	0.2374343	0.2349612	0.2403188	0.2373609	0.2348803	0.2404018	0.8060054	0.8034717	0.8080366	0.8125398	0.8108380	0.8143563	0.7993857	0.7982619	0.8003633	0.8060576	0.8039457	0.8080376	0.8124057	0.8104078	0.8139518	0.7994812	0.7983376	0.8003522	0.9867016	1.0285100	0.9452879	0.9867181	1.0285473	0.9460305	0.9460936	0.31697987	0.16675504	-0.080321765	0.9350363	0.052159941	0.040174535	0.9470490	1.201271e-02
10	0.9	pos	0.9792080	0.9702245	0.9880286	1.0209286	1.0136248	1.0291004	1.6869258	1.6725220	1.6995385	0.9784221	0.9709044	0.9862658	1.0206443	1.0129264	1.0303877	0.9359469	0.9235926	0.9480255	0.4248177	0.4201892	0.4316529	0.4242887	0.4199488	0.4295192	0.4249173	0.4196345	0.4305241	0.4244646	0.4198314	0.4288644	0.4245549	0.4189543	0.4295843	0.4281219	0.4221944	0.4331761	0.6973462	0.6943916	0.7005727	0.7062232	0.7028397	0.7096617	0.7988131	0.7978358	0.7998872	0.6971351	0.6939783	0.6998919	0.7062982	0.7035933	0.7094227	0.6858194	0.6837323	0.6886994	0.9793790	1.0215767	1.6868071	0.9786475	1.0207110	0.9356373	1.6974141	0.31697987	0.16675504	 0.674769593	0.9350363	0.052159941	0.040174535	1.7021403	7.671041e-01
11	0.0	neg	0.9889033	0.9830865	0.9963134	0.9970324	0.9901093	1.0036426	0.9810222	0.9655591	0.9936173	0.9896409	0.9827824	0.9968714	0.9968063	0.9895088	1.0028916	0.9800770	0.9686922	0.9950311	0.2491590	0.2455355	0.2528919	0.2490005	0.2454164	0.2525360	0.2486179	0.2455514	0.2515857	0.2492674	0.2452761	0.2532818	0.2490909	0.2448725	0.2528317	0.2483542	0.2440729	0.2526971	0.7988774	0.7966300	0.8023313	0.8002949	0.7974934	0.8029139	0.7973472	0.7959674	0.7989326	0.7989106	0.7964394	0.8011609	0.8004169	0.7979011	0.8027501	0.7974678	0.7957240	0.7988351	0.9890022	0.9970107	0.9794480	0.9890283	0.9970366	0.9797702	0.9810126	0.34024604	0.03181033	-0.015322246	0.9355109	0.054081283	0.007663727	0.9819337	4.642277e-02
11	0.0	pos	0.9917077	0.9878523	0.9971496	1.0004612	0.9962002	1.0055760	1.1212006	1.1144704	1.1256136	0.9923695	0.9882766	0.9970485	1.0000651	0.9956931	1.0055456	1.0249794	1.0221124	1.0290182	0.2827499	0.2804331	0.2848785	0.2828146	0.2804300	0.2850489	0.2827035	0.2803449	0.2843205	0.2826058	0.2803777	0.2842704	0.2828816	0.2806206	0.2848175	0.2836228	0.2818586	0.2856005	0.7782747	0.7767890	0.7800168	0.7796513	0.7781910	0.7811261	0.7985509	0.7971025	0.7999409	0.7782380	0.7768047	0.7798356	0.7796110	0.7783041	0.7809606	0.7832905	0.7817210	0.7851650	0.9919920	1.0004057	1.1215326	0.9919992	1.0004079	1.0253020	1.1230818	0.34024604	0.03181033	 0.128719601	0.9355109	0.054081283	0.007663727	1.1259755	1.904646e-01
11	0.9	neg	0.9849087	0.9801004	0.9893290	1.0274783	1.0219996	1.0329898	0.9424664	0.9364871	0.9494543	0.9855712	0.9805272	0.9909042	1.0273810	1.0211976	1.0329931	0.9424529	0.9364819	0.9497268	0.2371198	0.2342451	0.2390797	0.2373032	0.2353472	0.2393872	0.2371541	0.2341571	0.2393378	0.2373039	0.2343704	0.2392734	0.2373051	0.2347071	0.2394147	0.2372233	0.2352088	0.2390347	0.8058733	0.8045507	0.8078559	0.8124894	0.8110567	0.8147804	0.7988287	0.7977781	0.8001353	0.8059467	0.8045835	0.8080246	0.8123933	0.8112129	0.8142975	0.7990020	0.7979532	0.8001539	0.9854726	1.0274157	0.9422321	0.9855461	1.0275048	0.9429513	0.9449689	0.34024604	0.16837096	-0.081100115	0.9355109	0.054081283	0.040563843	0.9490559	1.354501e-02
11	0.9	pos	0.9949278	0.9864271	1.0009188	1.0383131	1.0311797	1.0451353	1.7226209	1.7058751	1.7356052	0.9954203	0.9875190	1.0038159	1.0385586	1.0303705	1.0459719	0.9620918	0.9511443	0.9701419	0.4371544	0.4327538	0.4406410	0.4372541	0.4323983	0.4419762	0.4373300	0.4337798	0.4419802	0.4373144	0.4331373	0.4421924	0.4370030	0.4332200	0.4412272	0.4410480	0.4373461	0.4462844	0.6948510	0.6920475	0.6980621	0.7036302	0.7004500	0.7066323	0.7976206	0.7958970	0.7995955	0.6945734	0.6912888	0.6983588	0.7039471	0.7008423	0.7073373	0.6854155	0.6817925	0.6882604	0.9952490	1.0382937	1.7219333	0.9953062	1.0383185	0.9618831	1.7268292	0.34024604	0.16837096	 0.681308383	0.9355109	0.054081283	0.040563843	1.7114644	7.759535e-01
12	0.0	neg	0.9852376	0.9777291	0.9918265	0.9920064	0.9834322	0.9981752	0.9748084	0.9662358	0.9852444	0.9847554	0.9783337	0.9909829	0.9927299	0.9849959	0.9991410	0.9750163	0.9630840	0.9859868	0.2483612	0.2464367	0.2506901	0.2482921	0.2460255	0.2505082	0.2482600	0.2463779	0.2504766	0.2483171	0.2461987	0.2506737	0.2482990	0.2459075	0.2510434	0.2486036	0.2460185	0.2510740	0.7986584	0.7968495	0.8003844	0.7998633	0.7985291	0.8012857	0.7969443	0.7952425	0.7983747	0.7986365	0.7972110	0.7999670	0.7998212	0.7981914	0.8014548	0.7970616	0.7955983	0.7985433	0.9853204	0.9925636	0.9748302	0.9854308	0.9926752	0.9752491	0.9778447	0.36271969	0.02968539	-0.014298714	0.9359694	0.055689527	0.007151787	0.9845120	4.854260e-02
12	0.0	pos	0.9932313	0.9890215	0.9985921	1.0008692	0.9955065	1.0073523	1.1288499	1.1163478	1.1382119	0.9924240	0.9862163	0.9989599	1.0004979	0.9938804	1.0078189	1.0326361	1.0193697	1.0421131	0.2843104	0.2802568	0.2881376	0.2843064	0.2797988	0.2873177	0.2841823	0.2808143	0.2866019	0.2840548	0.2803879	0.2872139	0.2838119	0.2794692	0.2869132	0.2849204	0.2805177	0.2882762	0.7773976	0.7750668	0.7802898	0.7791194	0.7764860	0.7819197	0.7990026	0.7976816	0.8004732	0.7776436	0.7753076	0.7800442	0.7791284	0.7767750	0.7817734	0.7838043	0.7828176	0.7847932	0.9935594	1.0010799	1.1290975	0.9930523	1.0005585	1.0334286	1.1287231	0.36271969	0.02968539	 0.120121080	0.9359694	0.055689527	0.007151787	1.1189318	1.829624e-01
12	0.9	neg	0.9935223	0.9878552	1.0004666	1.0355809	1.0287088	1.0432794	0.9483016	0.9413024	0.9544339	0.9932681	0.9874347	0.9988911	1.0357311	1.0284512	1.0453454	0.9497824	0.9440931	0.9555893	0.2380059	0.2361026	0.2398556	0.2381202	0.2365313	0.2395424	0.2382030	0.2362790	0.2399890	0.2379785	0.2364534	0.2394319	0.2379129	0.2362836	0.2394774	0.2379123	0.2361760	0.2396655	0.8065475	0.8052858	0.8082934	0.8131463	0.8119994	0.8145012	0.7993333	0.7980663	0.8005194	0.8066471	0.8053540	0.8083703	0.8130430	0.8117951	0.8142707	0.7994579	0.7982595	0.8010062	0.9932945	1.0356416	0.9482248	0.9933272	1.0356679	0.9490599	0.9496746	0.36271969	0.16882586	-0.081319226	0.9359694	0.055689527	0.040673436	0.9510132	1.504374e-02
12	0.9	pos	0.9876975	0.9776599	0.9981148	1.0300211	1.0190890	1.0407379	1.7140039	1.6920966	1.7388675	0.9856214	0.9750989	0.9970626	1.0283567	1.0176461	1.0395096	0.9490101	0.9349787	0.9620483	0.4314952	0.4287601	0.4350090	0.4319707	0.4284693	0.4359388	0.4316742	0.4270958	0.4358408	0.4315106	0.4277128	0.4357238	0.4319249	0.4276721	0.4357042	0.4350765	0.4312892	0.4391066	0.6959825	0.6938995	0.6981108	0.7044578	0.7025519	0.7065772	0.7987559	0.7973973	0.8000892	0.6957865	0.6939030	0.6976698	0.7044476	0.7022675	0.7065455	0.6851110	0.6821858	0.6878032	0.9869751	1.0289336	1.7129507	0.9864413	1.0283003	0.9483810	1.7238309	0.36271969	0.16882586	 0.683149103	0.9359694	0.055689527	0.040673436	1.7154815	7.795121e-01
