t	P	cov	vgamma_GRMstd	vgamma_GRMstd_ganc	vgamma_GRMvarX	vgamma_GRMvarX_ganc	vgamma_GRMld	vgamma_GRMld_ganc	var.prs.lanc	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3
0	0	neg							4.09376362052622e-05	0.5	0.25	-0.120418798138488	0.938770132112654	0.0602298678873466	0.0602298678873466
0	0	pos							1.13207774371337	0.5	0.25	1.01161800793867	0.938770132112654	0.0602298678873466	0.0602298678873466
0	0.9	neg							4.09376362052622e-05	0.5	0.25	-0.120418798138488	0.938770132112654	0.0602298678873466	0.0602298678873466
0	0.9	pos							1.13207774371337	0.5	0.25	1.01161800793867	0.938770132112654	0.0602298678873466	0.0602298678873466
1	0	neg							0.0304624335018258	0.5	0.125	-0.0602093990692439	0.938770132112654	0.0602298678873466	0.0301149339436733
1	0	pos							0.600122073829593	0.5	0.125	0.505809003969335	0.938770132112654	0.0602298678873466	0.0301149339436733
1	0.9	neg							0.00317316604972989	0.5	0.2375	-0.114397858231563	0.938770132112654	0.0602298678873466	0.0572183744929792
1	0.9	pos							1.08078068125228	0.5	0.2375	0.961037107541737	0.938770132112654	0.0602298678873466	0.0572183744929792
2	0	neg	0.0576537	0.0584848	0.0718677	0.072903	0.049699	0.0498175	0.0455200657708767	0.5	0.0625	-0.030104699534622	0.938770132112654	0.0602298678873466	0.0150574669718366
2	0	pos	0.0767483333333333	0.0714531666666667	0.0875916	0.0798678	0.3328004		0.331018519215211	0.5	0.0625	0.252904501984668	0.938770132112654	0.0602298678873466	0.0150574669718366
2	0.9	neg	0.047012	0.048942625	0.149198	0.0861586			0.00584455047161989	0.5	0.225625	-0.108677965319985	0.938770132112654	0.0602298678873466	0.0543574557683302
2	0.9	pos	0.1152177	0.0379785	0.2199502	0.0725379	1.034442		1.03399978012693	0.5	0.225625	0.91298525216465	0.938770132112654	0.0602298678873466	0.0543574557683302
3	0	neg	0.0577921	0.0584639	0.0649585	0.0657134	0.054604	0.05461275	0.0528298332782656	0.5	0.03125	-0.015052349767311	0.938770132112654	0.0602298678873466	0.00752873348591832
