t	P	cov	vg_gcta	vg_GRMvarX	vg_GRMld	vg_gcta_wganc	vg_GRMvarX_ganc	vg_GRMld_ganc	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
0	0	neg	0.9993	1.0603255	0.9412065	0.9993737	1.0604063	0.942038	0.943284155853882	0.5	0.25	-0.120418798138488	0.938770132112654	0.0602298678873466	0.0602298678873466	0.938811069748859	4.09376362053293e-05
0	0	pos	1.0026593	1.0651284	2.0683894	1.0021528	1.064414	0.9354826	2.07171459657833	0.5	0.25	1.01161800793867	0.938770132112654	0.0602298678873466	0.0602298678873466	2.07084787582602	1.13207774371336
0	0.9	neg	0.9993	1.0603255	0.9412065	0.9993737	1.0604063	0.942038	0.943284155853882	0.5	0.25	-0.120418798138488	0.938770132112654	0.0602298678873466	0.0602298678873466	0.938811069748859	4.09376362053293e-05
0	0.9	pos	1.0026593	1.0651284	2.0683894	1.0021528	1.064414	0.9354826	2.07171459657833	0.5	0.25	1.01161800793867	0.938770132112654	0.0602298678873466	0.0602298678873466	2.07084787582602	1.13207774371336
1	0	neg	0.9979144	1.0288843	0.9657878	0.9979352	1.0289105	0.9664726	0.965614261645815	0.5	0.125	-0.0602093990692439	0.938770132112654	0.0602298678873466	0.0301149339436733	0.96890553487443	0.0301354027617759
1	0	pos	0.9932119	1.0247986	1.5311734	0.993479	1.025053	0.9695122	1.53528875575582	0.5	0.125	0.505809003969335	0.938770132112654	0.0602298678873466	0.0301149339436733	1.53492393791301	0.596153805800355
1	0.9	neg	1.0043748	1.0633819	0.9426347	1.004442	1.0634621	0.9434079	0.938519505688178	0.5	0.2375	-0.114397858231563	0.938770132112654	0.0602298678873466	0.0572183744929792	0.941820516261416	0.00305038414876235
1	0.9	pos	1.0033198	1.0628863	2.0251348	1.0024017	1.0616795	0.9412423	2.0258871907473	0.5	0.2375	0.961037107541737	0.938770132112654	0.0602298678873466	0.0572183744929792	2.01725548203472	1.07848534992206
2	0	neg	0.9948152	1.0099507	0.9835831	0.9949338	1.0100658	0.9843336	0.985573172484561	0.5	0.0625	-0.0301046995346219	0.938770132112654	0.0602298678873466	0.0150574669718366	0.983952767437215	0.0451826353245613
2	0	pos	1.0002165	1.0164794	1.2641104	0.9998546	1.0160987	1.0114587	1.26693085388418	0.5	0.0625	0.252904501984668	0.938770132112654	0.0602298678873466	0.0150574669718366	1.2669619689565	0.328191836843851
2	0.9	neg	1.0001026	1.055445	0.9414679	1.0002353	1.0556153	0.9422129	0.940860199374746	0.5	0.225625	-0.108677965319985	0.938770132112654	0.0602298678873466	0.0543574557683302	0.944679490448345	0.00590935833569152
2	0.9	pos	0.9978087	1.0538687	1.9689403	0.9973987	1.0532881	0.9401232	1.97295333415691	0.5	0.225625	0.91298525216465	0.938770132112654	0.0602298678873466	0.0543574557683302	1.96634270793298	1.02757257582033
3	0	neg	1.0014133	1.0088236	0.9955853	1.0014197	1.0088304	0.9960259	0.991886509385222	0.5	0.03125	-0.015052349767311	0.938770132112654	0.0602298678873466	0.00752873348591832	0.991476383718608	0.0527062516059539
3	0	pos	0.9978369	1.0060504	1.1365564	0.997421	1.0056261	1.0351492	1.13585601934794	0.5	0.03125	0.126452250992334	0.938770132112654	0.0602298678873466	0.00752873348591832	1.13298098447825	0.194210852365599
3	0.9	neg	0.9986735	1.0504046	0.9410914	0.9987416	1.0504801	0.9419769	0.941686552996023	0.5	0.21434375	-0.103244067053986	0.938770132112654	0.0602298678873466	0.0516395829799138	0.947395515925928	0.00862538381327436
3	0.9	pos	0.9897511	1.0437801	1.9099791	0.9888287	1.0426299	0.9340522	1.91959312294717	0.5	0.21434375	0.867335989556418	0.938770132112654	0.0602298678873466	0.0516395829799138	1.91797557253633	0.979205440423678
4	0	neg	1.0004564	1.0040599	0.9953479	1.0005056	1.0041097	0.9957581	0.993488344649254	0.5	0.015625	-0.00752617488365549	0.938770132112654	0.0602298678873466	0.00376436674295916	0.995238191859304	0.0564680597466502
4	0	pos	1.0024897	1.0064738	1.076582	1.0020208	1.0059983	1.0389797	1.07473373559757	0.5	0.015625	0.0632261254961669	0.938770132112654	0.0602298678873466	0.00376436674295916	1.06599049223913	0.127220360126473
4	0.9	neg	1.0047638	1.05544	0.9527777	1.0048399	1.0555443	0.9535659	0.947283201322427	0.5	0.2036265625	-0.0980818637012867	0.938770132112654	0.0602298678873466	0.049057603830918	0.949975740129631	0.0112056080169779
4	0.9	pos	1.0022712	1.0542197	1.8689067	1.0013072	1.053033	0.9484859	1.86243626667499	0.5	0.2036265625	0.823969190078597	0.938770132112654	0.0602298678873466	0.049057603830918	1.87202679390951	0.933256661796861
5	0	neg	1.0013362	1.0031118	0.9970953	1.0014108	1.0031876	0.9973529	0.996872729366118	0.5	0.0078125	-0.00376308744182774	0.938770132112654	0.0602298678873466	0.00188218337147958	0.997119095929652	0.0583489638169984
5	0	pos	0.9988507	1.0008169	1.0221333	0.9986011	1.0005626	1.0114417	1.02218077259644	0.5	0.0078125	0.0316130627480835	0.938770132112654	0.0602298678873466	0.00188218337147958	1.03249524611956	0.0937251140069096
5	0.9	neg	0.9996248	1.0470556	0.9529343	0.9997131	1.0471477	0.9537706	0.955533012469892	0.5	0.193445234375	-0.0931777705162223	0.938770132112654	0.0602298678873466	0.0466047236393722	0.95242695312315	0.0136568210104964
5	0.9	pos	1.0067536	1.0559881	1.820279	1.0066472	1.0558083	0.9573291	1.82080158098498	0.5	0.193445234375	0.782770730574667	0.938770132112654	0.0602298678873466	0.0466047236393722	1.82837545421404	0.889605322101386
6	0	neg	1.0005617	1.001395	1.0017259	1.0005944	1.0014273	1.0017305	1.00087679692499	0.5	0.00390625	-0.00188154372091387	0.938770132112654	0.0602298678873466	0.00094109168573979	0.998059547964826	0.0592894158521725
6	0	pos	1.0046057	1.0053404	1.0282523	1.0045349	1.0052676	1.0252291	1.02420175974119	0.5	0.00390625	0.0158065313740417	0.938770132112654	0.0602298678873466	0.00094109168573979	1.01574762305978	0.0769774909471281
6	0.9	neg	0.9984906	1.0440249	0.952616	0.9985248	1.0440651	0.9533886	0.952115891673292	0.5	0.18377297265625	-0.0885188819904112	0.938770132112654	0.0602298678873466	0.0442744874574035	0.954755605466993	0.0159854733543389
6	0.9	pos	0.9997631	1.0461261	1.778773	0.9992391	1.0454832	0.9493349	1.78530761520493	0.5	0.18377297265625	0.743632194045934	0.938770132112654	0.0602298678873466	0.0442744874574035	1.78690668150334	0.848136549390684
7	0	neg	1.0042189	1.0045581	0.9977152	1.0042838	1.0046222	0.9977078	0.992852817223738	0.5	0.001953125	-0.000940771860456936	0.938770132112654	0.0602298678873466	0.000470545842869895	0.998529773982413	0.0597596418697595
7	0	pos	1.0003689	1.0006648	1.00629	1.0003201	1.0006157	1.0054895	1.00726934418063	0.5	0.001953125	0.00790326568702087	0.938770132112654	0.0602298678873466	0.000470545842869895	1.00737381152989	0.0686036794172373
7	0.9	neg	1.0009223	1.0433224	0.9594439	1.0009619	1.0433738	0.9601962	0.958687561623748	0.5	0.174584324023437	-0.0840929378908906	0.938770132112654	0.0602298678873466	0.0420607630845333	0.956967825193643	0.0181976930809892
7	0.9	pos	0.9952349	1.0386435	1.7360062	0.994454	1.0376976	0.9503899	1.74031123693444	0.5	0.174584324023437	0.706450584343637	0.938770132112654	0.0602298678873466	0.0420607630845333	1.74751134742817	0.808741215315517
8	0	neg	1.0003588	1.0008404	1.002279	1.0003653	1.0008471	1.0022694	0.999777521432502	0.5	0.0009765625	-0.000470385930228468	0.938770132112654	0.0602298678873466	0.000235272921434948	0.998764886991207	0.059994754878553
8	0	pos	1.0051441	1.0058741	1.0151279	1.0049177	1.0056494	1.0145967	1.01203490717885	0.5	0.0009765625	0.00395163284351043	0.938770132112654	0.0602298678873466	0.000235272921434948	1.00318690576495	0.064416773652292
8	0.9	neg	1.0001915	1.0413562	0.9598172	1.0003489	1.0415518	0.9606819	0.960701619980014	0.5	0.165855107822266	-0.0798882909963461	0.938770132112654	0.0602298678873466	0.0399577249303067	0.959069433933961	0.0202993018213071
8	0.9	pos	1.0068433	1.0489111	1.7191728	1.0063886	1.0483393	0.9730704	1.71239630115526	0.5	0.165855107822266	0.671128055126455	0.938770132112654	0.0602298678873466	0.0399577249303067	1.71008578005676	0.771315647944108
9	0	neg	1.0003711	1.0006476	1.0003809	1.0003565	1.0006337	1.0003734	0.999868344073257	0.5	0.00048828125	-0.000235192965114234	0.938770132112654	0.0602298678873466	0.000117636460717474	0.998882443495604	0.0601123113829498
9	0	pos	0.9958262	0.9960578	0.9968098	0.995772	0.9960031	0.9967484	1.00018172444885	0.5	0.00048828125	0.00197581642175522	0.938770132112654	0.0602298678873466	0.000117636460717474	1.00109345288247	0.0623233207698193
9	0.9	neg	0.9984016	1.0373087	0.9585584	0.998457	1.0373531	0.9593071	0.959645873297418	0.5	0.157562352431152	-0.0758938764465288	0.938770132112654	0.0602298678873466	0.0379598386837914	0.961065962237263	0.0222958301246092
9	0.9	pos	0.9963771	1.0359983	1.6681969	0.9961996	1.0357551	0.9630354	1.67489987148732	0.5	0.157562352431152	0.637571652370132	0.938770132112654	0.0602298678873466	0.0379598386837914	1.67453149105392	0.73576135894127
10	0	neg	1.0001755	1.0002917	0.988628	1.0001716	1.0002877	0.9886446	0.986295726200958	0.5	0.000244140625	-0.000117596482557117	0.938770132112654	0.0602298678873466	5.88182303587369e-05	0.998941221747802	0.0601710896351482
10	0	pos	0.9940236	0.9942556	1.0005172	0.9939679	0.9942001	1.0004448	1.00364388928203	0.5	0.000244140625	0.000987908210877608	0.938770132112654	0.0602298678873466	5.88182303587369e-05	1.00004672644124	0.0612765943285829
10	0.9	neg	0.9957005	1.0321432	0.9572678	0.9957361	1.0321774	0.9579512	0.961193853968259	0.5	0.149684234809595	-0.0720991826242024	0.938770132112654	0.0602298678873466	0.0360618467496017	0.9629626641254	0.0241925320127459
