t	P	cov	vg_gcta.x.mean	vg_gcta.x.CI95l	vg_gcta.x.CI95r	vg_GRMvarX.x.mean	vg_GRMvarX.x.CI95l	vg_GRMvarX.x.CI95r	vg_GRMld.x.mean	vg_GRMld.x.CI95l	vg_GRMld.x.CI95r	vg_gcta_wganc.x.mean	vg_gcta_wganc.x.CI95l	vg_gcta_wganc.x.CI95r	vg_GRMvarX_ganc.x.mean	vg_GRMvarX_ganc.x.CI95l	vg_GRMvarX_ganc.x.CI95r	vg_GRMld_ganc.x.mean	vg_GRMld_ganc.x.CI95l	vg_GRMld_ganc.x.CI95r	ve_GRMstd.mean	ve_GRMstd.CI95l	ve_GRMstd.CI95r	ve_GRMvarx.mean	ve_GRMvarx.CI95l	ve_GRMvarx.CI95r	ve_GRMld.mean	ve_GRMld.CI95l	ve_GRMld.CI95r	ve_GRMstd_ganc.mean	ve_GRMstd_ganc.CI95l	ve_GRMstd_ganc.CI95r	ve_GRMvarx_ganc.mean	ve_GRMvarx_ganc.CI95l	ve_GRMvarx_ganc.CI95r	ve_GRMld_ganc.mean	ve_GRMld_ganc.CI95l	ve_GRMld_ganc.CI95r	h2_GRMstd.mean	h2_GRMstd.CI95l	h2_GRMstd.CI95r	h2_GRMvarx.mean	h2_GRMvarx.CI95l	h2_GRMvarx.CI95r	h2_GRMld.mean	h2_GRMld.CI95l	h2_GRMld.CI95r	h2_GRMstd_ganc.mean	h2_GRMstd_ganc.CI95l	h2_GRMstd_ganc.CI95r	h2_GRMvarx_ganc.mean	h2_GRMvarx_ganc.CI95l	h2_GRMvarx_ganc.CI95r	h2_GRMld_ganc.mean	h2_GRMld_ganc.CI95l	h2_GRMld_ganc.CI95r	vg_gcta.y	vg_GRMvarX.y	vg_GRMld.y	vg_gcta_wganc.y	vg_GRMvarX_ganc.y	vg_GRMld_ganc.y	var.prs.geno	exp.theta	exp.var.theta	va.term4	va.term1	va.term2	va.term3	exp.vg	exp.vgamma
10	0.9	neg	0.9956404	0.9879811	1.0012420	1.0328397	1.0249582	1.0401318	0.9572197	0.9478399	0.9653624	0.9959401	0.9879310	1.0040787	1.0316515	1.0233019	1.0396650	0.9581077	0.9505951	0.9662570	0.2410371	0.2393707	0.2427777	0.2409478	0.2390110	0.2426571	0.2411655	0.2396436	0.2428311	0.2410591	0.2394158	0.2426376	0.2410045	0.2392799	0.2424495	0.2408422	0.2394231	0.2423893	0.8051011	0.8034558	0.8068031	0.8107899	0.8094109	0.8124949	0.7988587	0.7976086	0.7998650	0.8050095	0.8036944	0.8065744	0.8107590	0.8093067	0.8127419	0.7989577	0.7980120	0.7999565	0.9957005	1.0321432	0.9572678	0.9957361	1.0321774	0.9579512	0.9611939	0.5	1.496842e-01	-7.209918e-02	0.9387701	0.06022987	3.606185e-02	0.9629627	2.419253e-02
10	0.9	pos	0.9926014	0.9846619	0.9983232	1.0306802	1.0235641	1.0361976	1.6203500	1.6052299	1.6372642	0.9926371	0.9872283	0.9987334	1.0299628	1.0225389	1.0366773	0.9603528	0.9473932	0.9737855	0.4085124	0.4049162	0.4116938	0.4083438	0.4052139	0.4115388	0.4087705	0.4054087	0.4125157	0.4085212	0.4051701	0.4114670	0.4082623	0.4050488	0.4114399	0.4122580	0.4093228	0.4160051	0.7084858	0.7076290	0.7094772	0.7162297	0.7155009	0.7171151	0.7986768	0.7970489	0.8004482	0.7084392	0.7073625	0.7094700	0.7161495	0.7151657	0.7170621	0.6995486	0.6975313	0.7014495	0.9930685	1.0307410	1.6215546	0.9927697	1.0303739	0.9606245	1.6297675	0.5	1.496842e-01	 6.056931e-01	0.9387701	0.06022987	3.606185e-02	1.6407549	7.019848e-01
11	0.0	neg	0.9946083	0.9898974	1.0001862	0.9951725	0.9899279	1.0004351	0.9957472	0.9827095	1.0094995	0.9949884	0.9900473	1.0007259	0.9956664	0.9909549	1.0011454	0.9961276	0.9842674	1.0102777	0.2501159	0.2463048	0.2537905	0.2501590	0.2468711	0.2534696	0.2502422	0.2464301	0.2531239	0.2503882	0.2471876	0.2539400	0.2503268	0.2471856	0.2540624	0.2500730	0.2461514	0.2532001	0.7991416	0.7965825	0.8019606	0.7990524	0.7965513	0.8013195	0.7991058	0.7969712	0.8010738	0.7989189	0.7960203	0.8011115	0.7990328	0.7960961	0.8010457	0.7990631	0.7974846	0.8009702	0.9949012	0.9951758	0.9957425	0.9948435	0.9951180	0.9956684	0.9995688	0.5	1.220703e-04	-5.879824e-05	0.9387701	0.06022987	2.940912e-05	0.9989706	6.020048e-02
11	0.0	pos	0.9956117	0.9900463	1.0008474	0.9957334	0.9892630	1.0024558	1.0009949	0.9880096	1.0161351	0.9955494	0.9903768	1.0016838	0.9961061	0.9902764	1.0016747	1.0029072	0.9888129	1.0168183	0.2518952	0.2489755	0.2544838	0.2522210	0.2494644	0.2553094	0.2523657	0.2494371	0.2548727	0.2521171	0.2493835	0.2553179	0.2522146	0.2491344	0.2551701	0.2521458	0.2495432	0.2554692	0.7981312	0.7954558	0.8006028	0.7980788	0.7957714	0.8004644	0.7990616	0.7974156	0.8011235	0.7979843	0.7955565	0.8008493	0.7979044	0.7957147	0.8001134	0.7992207	0.7974457	0.8013126	0.9956212	0.9956810	1.0025416	0.9954733	0.9955324	1.0023752	1.0049559	0.5	1.220703e-04	 4.939541e-04	0.9387701	0.06022987	2.940912e-05	0.9995234	6.075323e-02
11	0.9	neg	1.0011032	0.9940421	1.0078957	1.0372230	1.0294478	1.0454252	0.9733368	0.9633046	0.9828700	1.0018297	0.9932966	1.0114946	1.0372327	1.0308370	1.0470615	0.9731378	0.9589712	0.9847271	0.2435189	0.2398425	0.2471657	0.2437247	0.2400036	0.2474673	0.2437811	0.2407904	0.2471460	0.2439087	0.2408661	0.2472761	0.2440955	0.2404430	0.2479373	0.2440034	0.2411380	0.2472403	0.8041202	0.8019922	0.8061748	0.8096067	0.8071730	0.8116934	0.7995132	0.7980435	0.8008056	0.8043308	0.8020250	0.8060887	0.8096554	0.8079231	0.8117672	0.7995388	0.7981705	0.8011666	1.0016219	1.0374250	0.9728689	1.0017283	1.0375556	0.9737066	0.9733044	0.5	1.422000e-01	-6.849422e-02	0.9387701	0.06022987	3.425875e-02	0.9647645	2.599440e-02
11	0.9	pos	1.0019658	0.9935746	1.0096335	1.0378822	1.0297986	1.0464135	1.6009490	1.5840176	1.6153712	1.0015931	0.9942001	1.0087643	1.0373634	1.0283034	1.0461147	0.9670826	0.9562023	0.9763135	0.4008276	0.3965695	0.4051242	0.4007767	0.3970583	0.4046206	0.4007860	0.3967660	0.4046514	0.4005643	0.3967175	0.4041262	0.4005869	0.3961925	0.4044080	0.4048505	0.4010981	0.4082586	0.7143034	0.7115343	0.7171054	0.7214867	0.7192263	0.7237192	0.7997500	0.7981742	0.8012421	0.7140896	0.7120256	0.7166030	0.7213886	0.7186995	0.7235982	0.7047704	0.7029639	0.7072507	1.0015574	1.0376093	1.5996452	1.0014155	1.0374157	0.9671144	1.6005243	0.5	1.422000e-01	 5.754084e-01	0.9387701	0.06022987	3.425875e-02	1.6086672	6.698970e-01
12	0.0	neg	0.9973842	0.9935985	1.0010738	0.9975387	0.9931349	1.0014502	0.9911584	0.9797835	1.0023087	0.9977098	0.9937858	1.0012324	0.9969010	0.9928611	1.0011800	0.9910624	0.9807594	1.0001065	0.2483832	0.2457868	0.2509256	0.2484025	0.2456235	0.2514258	0.2481933	0.2457424	0.2502877	0.2485880	0.2462168	0.2516173	0.2483966	0.2460271	0.2506926	0.2484201	0.2460897	0.2513101	0.8006305	0.7993954	0.8021017	0.8006241	0.7992854	0.8024744	0.7996731	0.7984638	0.8005946	0.8006553	0.7995624	0.8022278	0.8008060	0.7994079	0.8026011	0.7996505	0.7986593	0.8007876	0.9975917	0.9974406	0.9915528	0.9975686	0.9974177	0.9915402	0.9915898	0.5	6.103516e-05	-2.939912e-05	0.9387701	0.06022987	1.470456e-05	0.9989853	6.021517e-02
12	0.0	pos	0.9976655	0.9893710	1.0041734	0.9970962	0.9916148	1.0026475	0.9952793	0.9834045	1.0075856	0.9973723	0.9903586	1.0042372	0.9965421	0.9894996	1.0036787	0.9951944	0.9818465	1.0072012	0.2493005	0.2478090	0.2505452	0.2493262	0.2478871	0.2508218	0.2493552	0.2478138	0.2508164	0.2493063	0.2478826	0.2506702	0.2493537	0.2478386	0.2507126	0.2492553	0.2478957	0.2507141	0.8000065	0.7988358	0.8010172	0.8001002	0.7984806	0.8015263	0.7998178	0.7985150	0.8012558	0.7999155	0.7986038	0.8013465	0.7999599	0.7984407	0.8010940	0.7998597	0.7984990	0.8012008	0.9972714	0.9971734	0.9963186	0.9972446	0.9971471	0.9962843	0.9959097	0.5	6.103516e-05	 2.469771e-04	0.9387701	0.06022987	1.470456e-05	0.9992617	6.049155e-02
12	0.9	neg	0.9983386	0.9944829	1.0025119	1.0322592	1.0280846	1.0369776	0.9689239	0.9617544	0.9753484	0.9993111	0.9948573	1.0037415	1.0321147	1.0267713	1.0370211	0.9696363	0.9622240	0.9764607	0.2430741	0.2409809	0.2453811	0.2430239	0.2412246	0.2453133	0.2432281	0.2413123	0.2453458	0.2431236	0.2409763	0.2453368	0.2431788	0.2411629	0.2451324	0.2430447	0.2413312	0.2453306	0.8042157	0.8026220	0.8056629	0.8092968	0.8077641	0.8107542	0.7994164	0.7980724	0.8006598	0.8042410	0.8030407	0.8058006	0.8094164	0.8078845	0.8108963	0.7995342	0.7982624	0.8007746	0.9985660	1.0322607	0.9687869	0.9986442	1.0323549	0.9696171	0.9693722	0.5	1.350900e-01	-6.506951e-02	0.9387701	0.06022987	3.254582e-02	0.9664763	2.770617e-02
12	0.9	pos	1.0001596	0.9921432	1.0074431	1.0344398	1.0267252	1.0416978	1.5798592	1.5637929	1.5966967	1.0005428	0.9931323	1.0076093	1.0334340	1.0258114	1.0412125	0.9754088	0.9672868	0.9845377	0.3953252	0.3928797	0.3973632	0.3955569	0.3929243	0.3977668	0.3952594	0.3925422	0.3974024	0.3954963	0.3923546	0.3976190	0.3952780	0.3927112	0.3974696	0.3990779	0.3964670	0.4008606	0.7169288	0.7152739	0.7187108	0.7235199	0.7218470	0.7249717	0.7999154	0.7985035	0.8015551	0.7168983	0.7150564	0.7187215	0.7233532	0.7219075	0.7253230	0.7094146	0.7080433	0.7105270	1.0009313	1.0346503	1.5807415	1.0006911	1.0343464	0.9753666	1.5822443	0.5	1.350900e-01	 5.466380e-01	0.9387701	0.06022987	3.254582e-02	1.5781838	6.394137e-01
