t	P	cov	vg_HEreg_noa.mean	vg_HEreg_noa.CI95l	vg_HEreg_noa.CI95r	vg_HEreg_adj.mean	vg_HEreg_adj.CI95l	vg_HEreg_adj.CI95r	exp.vg	va.term1	va.term2	va.term3	va.term4	vg_GRMvarX_ganc.mean	vg_GRMvarX_ganc.CI95l	vg_GRMvarX_ganc.CI95r	vg_GRMvarX_noa.mean	vg_GRMvarX_noa.CI95l	vg_GRMvarX_noa.CI95r	vg_GRMvarX_gcta.mean	vg_GRMvarX_gcta.CI95l	vg_GRMvarX_gcta.CI95r	vg_GRMld_ganc.mean	vg_GRMld_ganc.CI95l	vg_GRMld_ganc.CI95r	vg_GRMld_noa.mean	vg_GRMld_noa.CI95l	vg_GRMld_noa.CI95r
12	0	pos	0.99397162	0.97393284	1.01090043	0.99246133	0.97757138	1.00666371	0.999261682	0.938770132	0.060229868	1.47e-05	0.000246977	0.9921019	0.97033217	1.01056441	0.99552914	0.97908878	1.01296499	0.99467316	0.97485098	1.01493012	0.9946245	0.9816489	1.0055453	0.9953922	0.9800863	1.0071391
12	0.9	neg	0.08375301	0.08256018	0.08501571	0.10353402	0.10177781	0.10514343	0.966476304	0.938770132	0.060229868	0.032545817	-0.065069512	0.1256128	0.1238027	0.12740878	0.10217805	0.10013082	0.10359951	0.10201168	0.10048516	0.10345863	0.9685326	0.9611331	0.976545	0.9689823	0.9603528	0.9753321
12	0.9	pos	5.72059894	5.55949438	5.90526699	0.10190539	0.10026913	0.10355228	1.578183812	0.938770132	0.060229868	0.032545817	0.546637995	0.12357468	0.12165289	0.12526127	6.37063482	6.20749743	6.52960779	6.36881555	6.22035745	6.52111267	0.9577288	0.9494156	0.9656035	1.5806863	1.5612891	1.6000076
13	0	neg	1.00139102	0.98848779	1.01420189	1.00040935	0.98777816	1.01066446	0.998992653	0.938770132	0.060229868	7.35e-06	-1.47e-05	1.00061644	0.98794111	1.01192307	1.00094101	0.98986255	1.01153271	1.00170945	0.99124108	1.01217432	1.0031402	0.9980624	1.0086638	1.0036624	0.9985158	1.009399
13	0	pos	0.99348763	0.97470608	1.01344439	0.99095223	0.97301216	1.00766957	0.999130841	0.938770132	0.060229868	7.35e-06	0.000123489	0.99141648	0.97074272	1.01137902	0.99277666	0.97492388	1.01200503	0.99103555	0.97341959	1.01255587	0.9942141	0.9822403	1.0046584	0.9964666	0.984827	1.0085172
13	0.9	neg	0.0925858	0.09082586	0.09436138	0.11222153	0.11073987	0.11369396	0.968102489	0.938770132	0.060229868	0.030918526	-0.061816037	0.13456536	0.13265326	0.13703161	0.11127439	0.10946682	0.11311907	0.11130782	0.10917509	0.1135523	0.9701026	0.9604186	0.9793602	0.9719303	0.9612433	0.9845838
13	0.9	pos	5.67299137	5.58446764	5.77084734	0.11091181	0.10944938	0.11239573	1.549224622	0.938770132	0.060229868	0.030918526	0.519306096	0.13314992	0.13091834	0.13483554	6.26632565	6.15887657	6.40178485	6.27333886	6.18247048	6.38450161	0.959483	0.9525505	0.9683319	1.5499209	1.5348388	1.5612866
14	0	neg	1.00247547	0.99228363	1.01274261	1.00005423	0.98744936	1.0102051	0.998996326	0.938770132	0.060229868	3.68e-06	-7.35e-06	0.99966915	0.98724543	1.0107404	1.00125119	0.99063994	1.01426903	1.00195609	0.99008337	1.01253253	1.0020648	0.9949136	1.0078191	1.0031216	0.9954324	1.0096317
14	0	pos	0.99673765	0.97026085	1.01700179	0.99528283	0.97009755	1.0147066	0.99906542	0.938770132	0.060229868	3.68e-06	6.17e-05	0.99547603	0.97307918	1.01940796	0.99634362	0.96951532	1.02122282	0.99506077	0.97321385	1.01422631	0.9945886	0.9834464	1.0081921	0.9965375	0.9832933	1.0114286
14	0.9	neg	0.1015565	0.10047314	0.10296237	0.12189399	0.12062833	0.123124	0.969647365	0.938770132	0.060229868	0.0293726	-0.058725235	0.14468852	0.14327676	0.14630167	0.12110077	0.11976496	0.12247798	0.12109009	0.11966735	0.12265478	0.9747028	0.9674065	0.9812607	0.974255	0.9678186	0.9806677
14	0.9	pos	5.6566333	5.52882955	5.78230915	0.12026589	0.11835893	0.12225311	1.52171339	0.938770132	0.060229868	0.0293726	0.493340791	0.14285433	0.1406588	0.14598986	6.22368021	6.06193229	6.35577611	6.22139425	6.06210436	6.36544259	0.9641803	0.9546609	0.9750306	1.5307654	1.5201556	1.5433307
15	0	neg	0.97961083	0.96535541	0.99130553	0.97964613	0.96292668	0.99433022	0.998998163	0.938770132	0.060229868	1.84e-06	-3.67e-06	0.97946405	0.96247403	0.99358692	0.98059082	0.96694628	0.99753416	0.97864547	0.96295227	0.99509494	0.9895476	0.9790395	0.9997809	0.9911465	0.9810091	0.9992992
